p:(0.622214,0.387011),h:1,n:73,cr:0.0499198;
p:(0.595045,0.361917),h:1,n:69,cr:0.042955;
p:(0.590518,0.345963),h:1,n:39,cr:0.0433723;
p:(0.697848,0.31195),h:1,n:58,cr:0.0669054;
p:(0.61264,0.296032),h:1,n:42,cr:0.0419725;
p:(0.619596,0.281059),h:1,n:37,cr:0.0448828;
p:(0.70062,0.316867),h:1,n:39,cr:0.0425954;
p:(0.684445,0.383188),h:1,n:43,cr:0.0424953;
p:(0.703186,0.332892),h:1,n:50,cr:0.0441628;
p:(0.639979,0.354049),h:1,n:61,cr:0.060515;
p:(0.692542,0.272133),h:1,n:40,cr:0.0451191;
p:(0.666557,0.288778),h:1,n:37,cr:0.037415;
p:(0.649707,0.248044),h:1,n:54,cr:0.0383238;
p:(0.584489,0.244413),h:1,n:70,cr:0.0572343;
p:(0.717047,0.275933),h:1,n:69,cr:0.0808082;
p:(0.689194,0.405786),h:1,n:37,cr:0.0332667;
p:(0.641081,0.431953),h:1,n:56,cr:0.0469755;
p:(0.637656,0.452122),h:1,n:53,cr:0.0483481;
p:(0.66688,0.497259),h:1,n:37,cr:0.0367215;
p:(0.675476,0.48295),h:1,n:44,cr:0.0441722;
p:(0.692076,0.44256),h:1,n:51,cr:0.0395907;
p:(0.58357,0.265461),h:1,n:64,cr:0.0503356;
p:(0.544564,0.377888),h:1,n:44,cr:0.0320098;
p:(0.492863,0.330476),h:1,n:38,cr:0.0363084;
p:(0.481936,0.304956),h:1,n:38,cr:0.031961;
p:(0.528892,0.358948),h:1,n:55,cr:0.046534;
p:(0.521261,0.28428),h:1,n:56,cr:0.0677814;
p:(0.496074,0.334972),h:1,n:51,cr:0.0747989;
p:(0.561188,0.300935),h:1,n:42,cr:0.0491932;
p:(0.590649,0.31356),h:1,n:70,cr:0.0541686;
p:(0.482491,0.215825),h:1,n:62,cr:0.0562396;
p:(0.491214,0.200168),h:1,n:41,cr:0.0500579;
p:(0.470674,0.211604),h:1,n:51,cr:0.0487377;
p:(0.523745,0.24699),h:1,n:63,cr:0.040159;
p:(0.475806,0.272987),h:1,n:69,cr:0.0593402;
p:(0.51964,0.192734),h:1,n:39,cr:0.0398945;
p:(0.938399,0.375937),h:1,n:73,cr:0.0614657;
p:(0.880735,0.395988),h:1,n:58,cr:0.0447588;
p:(0.862779,0.370865),h:1,n:43,cr:0.0584018;
p:(0.814351,0.384658),h:1,n:36,cr:0.0300222;
p:(0.840188,0.394383),h:1,n:62,cr:0.0366479;
p:(0.74673,0.277214),h:1,n:39,cr:0.0315772;
p:(0.775767,0.288379),h:1,n:38,cr:0.0478066;
p:(0.780283,0.348881),h:1,n:37,cr:0.044692;
p:(0.786002,0.307458),h:1,n:50,cr:0.0445915;
p:(0.801024,0.291057),h:1,n:36,cr:0.0573474;
p:(0.737939,0.462852),h:1,n:67,cr:0.0450598;
p:(0.749771,0.368664),h:1,n:53,cr:0.0517875;
p:(0.717512,0.399924),h:1,n:48,cr:0.0367106;
p:(0.789244,0.374201),h:1,n:64,cr:0.0434422;
p:(0.771387,0.451879),h:1,n:44,cr:0.0456504;
p:(0.758364,0.42472),h:1,n:37,cr:0.0386525;
p:(0.813761,0.464878),h:1,n:67,cr:0.054589;
p:(0.800775,0.411551),h:1,n:41,cr:0.0363719;
p:(0.864579,0.492399),h:1,n:50,cr:0.0666153;
